,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Lagoa,PT,39.05,-27.9833,67.5,88,100,12.19,overcast clouds
232,Det Udom,TH,14.906,105.0784,78.62,92,100,6.53,light rain
233,Amargosa,BR,-13.0303,-39.6047,71.82,66,0,9.71,clear sky
234,Beringovskiy,RU,63.05,179.3167,43.88,98,100,6.4,overcast clouds
235,Makato,PH,11.712,122.2922,75.11,86,100,4.94,overcast clouds
236,Iztapa,GT,13.9333,-90.7075,91.45,55,0,9.22,clear sky
237,Broken Hill,AU,-31.95,141.4333,38.98,83,0,12.77,clear sky
238,Sterling,US,39.0062,-77.4286,91.02,62,75,6.91,broken clouds
239,Hambantota,LK,6.1241,81.1185,80.87,80,12,19.24,few clouds
240,Taunggyi,MM,20.7833,97.0333,63.88,96,100,1.88,moderate rain
241,Tilichiki,RU,60.4667,166.1,45.7,93,100,8.77,light rain
242,Nantucket,US,41.2835,-70.0995,78.91,85,40,16.11,scattered clouds
243,Makakilo City,US,21.3469,-158.0858,84.52,55,0,17.27,clear sky
244,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,82.71,36,0,13.0,clear sky
245,Kavaratti,IN,10.5669,72.642,82.47,82,100,19.24,overcast clouds
246,Wasilla,US,61.5814,-149.4394,71.02,50,0,12.66,smoke
247,Bossangoa,CF,6.4926,17.4552,70.66,95,100,5.1,overcast clouds
248,Barillas,GT,15.8036,-91.3158,76.33,50,92,6.11,overcast clouds
249,El Coyote,MX,25.7,-103.2667,92.28,23,100,9.51,overcast clouds
250,Hami,CN,42.8,93.45,85.15,25,100,11.5,overcast clouds
251,Chippewa Falls,US,44.9369,-91.3929,80.89,47,0,9.22,clear sky
252,Vytegra,RU,61.0064,36.4481,61.74,59,100,4.25,overcast clouds
253,Valdivia,CL,-39.8142,-73.2459,51.89,74,9,5.61,clear sky
254,Pangnirtung,CA,66.1451,-65.7125,48.2,71,75,8.05,broken clouds
255,Alice Springs,AU,-23.7,133.8833,49.55,62,0,13.8,clear sky
256,Meadow Lake,US,34.8014,-106.5436,90.25,31,32,7.63,scattered clouds
257,Mokolo,CM,10.7398,13.8019,76.08,68,31,3.09,light rain
258,Tupik,RU,54.4253,119.9327,61.68,88,11,2.89,few clouds
259,Cabo San Lucas,MX,22.8909,-109.9124,91.62,67,27,9.48,scattered clouds
260,Mount Gambier,AU,-37.8333,140.7667,46.49,79,100,4.0,overcast clouds
261,Fenton,US,42.7978,-83.7049,84.38,61,0,11.5,clear sky
262,Maracacume,BR,-2.0428,-45.9592,77.32,88,89,2.57,overcast clouds
263,Lodwar,KE,3.1191,35.5973,82.81,42,74,17.63,broken clouds
264,Campobello Di Mazara,IT,37.6358,12.7443,86.67,75,26,8.59,scattered clouds
265,Changde,CN,29.0464,111.6783,78.46,90,89,0.43,overcast clouds
266,Del Rio,US,29.3627,-100.8968,98.71,32,0,10.36,clear sky
267,Balkanabat,TM,39.5108,54.3671,84.79,46,0,6.67,clear sky
268,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,64,75,19.57,broken clouds
269,Aksu,CN,41.1231,80.2644,80.96,23,0,5.03,clear sky
270,East London,ZA,-33.0153,27.9116,67.91,32,0,9.75,clear sky
271,Paamiut,GL,61.994,-49.6678,38.44,91,98,4.83,overcast clouds
272,Horuphav,DK,54.9102,9.8987,62.51,82,100,5.75,overcast clouds
273,Barguzin,RU,53.6167,109.6167,66.97,78,42,4.56,scattered clouds
274,Sylvania,US,41.7189,-83.713,91.42,47,75,9.22,broken clouds
275,Haines Junction,CA,60.7522,-137.5108,67.95,52,8,1.14,clear sky
276,Sambava,MG,-14.2667,50.1667,69.69,86,96,12.82,light rain
277,Newport,GB,51.5877,-2.9984,62.69,71,10,14.63,clear sky
278,Namatanai,PG,-3.6667,152.4333,78.78,80,19,8.5,few clouds
279,Fairfield,US,41.2668,-73.3162,93.33,62,20,14.97,few clouds
280,Yakeshi,CN,49.2833,120.7333,58.48,89,14,3.24,few clouds
281,Ruwi,OM,23.5996,58.5507,89.29,63,41,5.48,scattered clouds
282,Rawson,AR,-43.3002,-65.1023,45.34,69,95,22.7,overcast clouds
283,Port Elizabeth,ZA,-33.918,25.5701,73.09,33,0,11.5,clear sky
284,Narasannapeta,IN,18.4167,84.05,79.5,92,100,10.31,overcast clouds
285,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,94,75,12.95,light intensity drizzle rain
286,Sinnamary,GF,5.3833,-52.95,79.48,82,92,9.28,overcast clouds
287,Cowra,AU,-33.8333,148.6833,49.95,90,100,14.9,overcast clouds
288,Kirakira,SB,-10.4544,161.9205,80.44,80,77,11.07,broken clouds
289,Saint-Louis,SN,16.3333,-15.0,103.64,16,14,15.1,few clouds
290,La Ronge,CA,55.1001,-105.2842,61.05,39,75,3.44,broken clouds
291,Fortuna,US,40.5982,-124.1573,59.67,91,100,0.0,overcast clouds
292,Guican,CO,6.4618,-72.4113,56.71,85,76,0.69,light rain
293,Ilhabela,BR,-23.7781,-45.3581,67.44,86,12,7.29,few clouds
294,Adre,TD,13.4667,22.2,76.98,56,99,5.84,overcast clouds
295,Nolinsk,RU,57.5596,49.9363,51.1,83,96,6.82,overcast clouds
296,Iquique,CL,-20.2208,-70.1431,62.64,70,1,7.61,clear sky
297,San Jose,US,37.3394,-121.895,82.53,42,20,6.91,few clouds
298,Oranjemund,NA,-28.55,16.4333,62.73,63,0,10.51,clear sky
299,Mansa,IN,29.9833,75.3833,87.71,65,54,4.38,broken clouds
300,Dapaong,TG,10.8639,0.205,79.3,68,85,6.31,light rain
301,Port Hardy,CA,50.6996,-127.4199,60.98,82,75,10.36,broken clouds
302,Kildare,IE,53.1561,-6.9144,62.38,92,44,10.96,scattered clouds
303,Bilibino,RU,68.0546,166.4372,46.94,93,100,5.73,light rain
304,Amapala,HN,13.2922,-87.6539,91.92,47,60,5.48,broken clouds
305,Ulaangom,MN,49.9811,92.0667,61.86,63,68,4.47,broken clouds
306,Balad,IQ,34.0164,44.1453,95.67,17,0,18.95,clear sky
307,Ancud,CL,-41.8697,-73.8203,44.22,64,93,9.62,overcast clouds
308,Khasan,RU,42.4308,130.6434,60.31,97,69,2.51,broken clouds
309,Moanda,GA,-1.5575,13.2178,78.19,63,85,3.98,overcast clouds
310,Amahai,ID,-3.3333,128.9167,76.87,87,83,1.95,broken clouds
311,Merrill,US,45.1805,-89.6835,77.81,39,0,16.11,clear sky
312,Akyab,MM,20.15,92.9,80.4,85,100,4.61,overcast clouds
313,Torbay,CA,47.6666,-52.7314,67.75,78,75,21.85,broken clouds
314,Gimli,CA,50.6336,-96.9907,66.22,39,8,11.5,clear sky
315,Esperance,AU,-33.8667,121.9,49.23,75,0,9.86,clear sky
316,Norman Wells,CA,65.282,-126.8329,73.44,43,20,9.22,few clouds
317,Carinhanha,BR,-14.3047,-43.765,85.78,28,2,7.34,clear sky
318,Sussex,US,41.1834,-74.6663,92.19,43,0,8.01,clear sky
319,Bundaberg,AU,-24.85,152.35,61.21,99,100,3.0,light rain
320,Caravelas,BR,-17.7125,-39.2481,73.94,75,92,4.97,overcast clouds
321,Hudson Bay,CA,52.85,-102.3842,64.83,38,25,7.27,scattered clouds
322,Kirkwall,GB,58.9848,-2.9587,55.45,88,75,4.61,broken clouds
323,Aldan,RU,58.6031,125.3894,60.67,97,99,1.7,overcast clouds
324,Porto Velho,BR,-8.7619,-63.9039,91.45,38,40,6.91,scattered clouds
